id,name,movie,slug
1,"Captain Hook","Peter Pan",captain-hook
2,"Cruella de Vil","One Hundred and One Dalmatians",cruella-de-vil
3,Gaston,"Beauty and the Beast",gaston
4,Hades,Hercules,hades
5,"Horned King","The Black Cauldron",horned-king
6,Jafar,Aladdin,jafar
7,"Lady Tremaine",Cinderella,lady-tremaine
8,"Madame Medusa","The Rescuers",madame-medusa
9,"Madam Mim","The Sword in the Stone",madam-mim
10,Maleficent,"Sleeping Beauty",maleficent
11,"Prince John","Robin Hood",sir-hiss
12,"Queen Grimhilde","Snow White and the Seven Dwarfs",queen-grimhilde
13,"Queen of Hearts","Alice in Wonderland",queen-of-hearts
14,Scar,"The Lion King",scar
15,"Shan Yu",Mulan,shan-yu
16,"Shere Khan","The Jungle Book",shere-khan
17,Ursula,"The Little Mermaid",ursula
18,"Sir Hiss","Robin Hood",sir-hiss
